name,annualacv,lifetimeacv,aiapptype,aitinymcecentrality,aiaiadjacency,priority_score,tier,primary_channel,secondary_channel,budget_treatment,rationale
Collibra Belgium BV,129712,1417261,workflow,Core,Yes,92,1,LinkedIn Contact List,Direct SAE Outreach + Gong Sequence,$600 dedicated,"8-year OEM relationship in data governance SaaS — highest combined score on scoring model."
1&1 Mail & Media GmbH,146430,515004,email,Core,Yes,91,1,LinkedIn Contact List (named SAE contacts),SAE Direct Outreach + Gong Sequence,$600 dedicated,"Highest active ACV with named VP-level SAE contacts — email composer AI writing is a clear in-product expansion story."
Sierra Interactive,98886,1600184,crm,Core,Yes,90,1,LinkedIn Contact List,Gong Sequence + Product Champion Outreach,$600 dedicated,"Highest LTV on active list; already using Tiny AI Assistant since Sept 2025 — expansion play is deepening adoption."
UBS Financial Services Inc.,134275,1358795,internal,Core,Yes,89,1,LinkedIn Contact List,Direct AE Outreach + Executive Briefing,$600 dedicated,"Internal banking workflow — AI-assisted document drafting and compliance trail is the expansion argument."
Google (Delivery Navigator),87500,612684,internal,Core,Yes,85,1,LinkedIn Contact List ONLY (named SAE contacts),Direct SAE Outreach via named PM contacts,$400 hard cap ($150/wk),"Contact List only — company list drove 61% impression-absorption in March 2026 campaign."
LogicGate Inc.,60786,1058998,workflow,Core,Yes,81,1,LinkedIn Contact List,Gong Sequence + GRC Vertical Webinar,$400 dedicated,"GRC no-code workflow platform with $1.06M LTV — AI-assisted policy authoring is the direct expansion story."
aNewSpring,83175,270943,lms,Core,Yes,78,2,LinkedIn Contact List (shared pool),Gong Sequence + LMS Vertical Webinar,$150 shared pool,"Adaptive eLearning platform that added Tiny AI Assistant Dec 2025 — reachability limited so Gong is primary lever."
Dev Apploi,45118,224074,workflow,Core,Yes,65,2,LinkedIn Nurture Sequence,Gong Sequence + Healthcare Vertical Content,$100 shared pool,"Healthcare-staffing workflow — AI-assisted job descriptions and offer letters."
Enate,42374,287768,workflow,Core,Yes,64,2,LinkedIn Nurture Sequence,Gong Email Sequence,$100 shared pool,"AI workflow-automation platform already embedding Tiny AI Assistant — reactivation play to deepen adoption."
Erste Digital GmbH,41134,119204,internal,Core,Yes,63,2,LinkedIn Nurture Sequence,Gong Sequence + FinServ Webinar,$100 shared pool,"Erste Group internal credit-decisioning app — AI-assisted credit memo drafting with audit trail."
ADP Works,69030,103545,workflow,Core,Yes,70,2,LinkedIn Contact List (shared pool),Direct AE Outreach,$150 shared pool,"ADP applicant-tracking SaaS — AI-assisted job description writing is an immediate use case."
Sedna Communications Ltd,36416,537878,email,Core,Yes,70,2,LinkedIn Contact List (shared pool),Gong Email Sequence,$100 shared pool,"Maritime-logistics email platform — AI-assisted communications drafting with recent activity (Apr 2026)."
InContact (NICE),52817,111636,workflow,Core,Yes,69,2,LinkedIn Nurture Sequence,Gong Email Sequence + Product Webinar,$100 shared pool,"Contact-centre RPA platform — AI-assisted agent scripting and knowledge-base authoring."
FranConnect,48160,393058,workflow,Core,Yes,68,2,LinkedIn Nurture Sequence,Gong Email Sequence + Partner Content,$100 shared pool,"Franchise-management OEM — AI writing expansion touches 600+ downstream franchise brands."
Revenue.io,31955,162263,crm,Core,Yes,67,2,LinkedIn Nurture Sequence,Gong Email Sequence,$100 shared pool,"AI sales-engagement platform — AI-written email templates and call scripts align directly with expansion."
Jenzabar,23445,321933,lms,Core,Yes,62,2,LinkedIn Nurture Sequence,Gong Sequence + EdTech Webinar,$100 shared pool,"Higher-ed ERP and SIS — AI-assisted student communications and course content."
IntelliGRC,25001,250628,workflow,Core,Yes,61,2,LinkedIn Nurture Sequence,Gong Email Sequence + Compliance Webinar,$100 shared pool,"CMMC-compliance platform — AI-assisted policy and evidence writing."
DLGL Technologies Corporation,24300,221616,crm,Core,Yes,61,2,CSM Email Reactivation,Gong Email Sequence,$0 paid,"Large-corp HR and payroll SaaS — AI-assisted payroll communications and HR policy drafting."
Intrepid - VitalSource,23010,167586,lms,Core,Yes,61,2,CSM Email Reactivation,Gong Sequence + Learning Webinar,$0 paid,"Corporate-learning platform — AI-assisted course authoring for sales training and executive education."
Solve Intelligence,19683,198876,workflow,Core,Yes,61,2,CSM Email Reactivation,Gong Email Sequence,$0 paid,"AI patent-and-contract drafting platform — expansion is feature-deepening not net-new."
Simplify Healthcare,23232,226215,workflow,Core,Yes,60,2,CSM Email Reactivation,Gong Email Sequence + Healthcare Content,$0 paid,"Benefit-plan management SaaS — AI-assisted contract and benefit description authoring."
C2Perform,25972,238433,workflow,Core,Yes,60,2,CSM Email Reactivation,Gong Email Sequence,$0 paid,"Contact-centre performance-management — AI-assisted coaching scripts and performance plans."
Moodle,0,3572800,lms,Core,Yes,58,3,CSM Win-Back,EdTech Content Syndication + Webinar,$0 paid,"Highest-value churned account ($3.57M LTV) — win-back focused on Moodle Cloud AI writing module."
Legislative Services Agency,0,1271842,workflow,Core,Yes,56,3,CSM Win-Back,Government Content + Partner Channel,$0 paid,"$1.27M LTV on legislative-drafting workflow — government procurement cycle may create re-entry window."
Givebutter,0,826918,crm,Supporting,Yes,50,3,Content Syndication,Nonprofit Vertical Newsletter + CSM Outreach,$0 paid,"$827K LTV nonprofit fundraising CRM — AI-assisted donor communications."
IP Copilot,0,519103,workflow,Core,Yes,55,3,CSM Win-Back,LegalTech Content Syndication,$0 paid,"$519K LTV patent-and-IP drafting platform — legaltech content syndication supports re-engagement."
Microsoft Dragon Medical One,0,446394,workflow,Supporting,Yes,44,3,Health IT Partner Channel,Content Syndication (Health IT),$0 paid,"$446K LTV through Dragon Medical/DAX Copilot — outreach via Microsoft ISV partnership channel only."
IBM Tririga (via Wipro),0,196367,workflow,Core,Yes,49,3,CSM Inquiry via Wipro Partner Channel,Content Syndication,$0 paid,"$196K LTV appears to flow through Wipro as IBM TRIRIGA SI partner — confirm billing before direct outreach."
